cluster_id,generated,reference
0,"U.S. employers added a robust 200,000 jobs in january, and wages rose at the fastest pace in more than eight years. The unemployment rate remained 4.1 percent for a fourth straight month, the lowest level since 2000. The figures point to an economy on strong footing even in its ninth year of expansion.","Okanagan farm gets creative protecting cherries from birds. a vernon orchard has a unique way of keeping the birds away from its bumper cherry crop. (submitted photo) vernon, b.c. — you usually see them on the side of the road, wiggly arms and tube body bouncing around trying to attract people to a sale."
1,"The total state portion of the budget, which includes the general fund, special funds and bond funds, but not federal funds, equals $183.2 billion. That is nearly identical to the amount the governor requested last month in his may budget revision proposal.","BRIEF-Endo International priced $300 million aggregate amount of 5.875% senior secured notes. new u.s. funds would mimic adrs but cut currency risk -filing new york, june 14 an investment company is planning to offer a novel kind of fund that would offer u.s. investors direct access to foreign stocks, while tamping down the risk of currency declines, regulatory filings showed on wednesday."
2," left tackle branden albert hasn’t played a full season since 2010 with kansas city. the last three seasons, he’s played nine, 14 and 12 games. this past season he missed four games due to an ankle sprain and food poisoning.","BRIEF-Kriton Artos SA FY 2016 net loss widens at 0.9 million euros. update 3-nestle takes food price rises in its stride zurich, aug 9 nestle expects pressure from the rising price of ingredients for its products such as chocolate bars, coffee and soup to ease, helping it meet its target for increasing sales despite tough markets."
3,"Barcelona and chelsea will renew their long-running european rivalry after the two giants were drawn against each other in the last 16 of the champions league. antonio conte's side surrendered top spot in group c to roma and now face the unenviable task of a trip to the nou camp. tottenham, who earned the most points than any other team in the group stages, will face italian champions juventus.",Google brings job search feature to Indian users. google introduced their job search feature for indian users on tuesday. the new initiative is very similar to google for jobs that the company introduced in the us last year which was aimed at making job searches easier on the search engine. the new feature is available on the google app for android and ios as well as in google search on the desktop.
4,Researchers are urging albanian authorities to build a museum to display hundreds of roman and greek artifacts and ancient shipwrecks. The wealth of underwater artifacts in the country’s southwestern seabed could easily fall prey to looters or treasure hunters.,"Former Knicks coach Derek Fisher engaged to Gloria Govan. derek fisher scored a new fiancée. the former knicks head coach, 43, got engaged to gloria govan, 33, on april 7 after more than two years of dating, tmz sports reported. the longtime los angeles laker proposed to the ex-""basketball wives la"" star during a get-together at their los angeles-area residence."
5," liberty maguire, who is eight-months-old, was born with serious liver disease and has been in and out of hospital for most of her short life. Her body rejected a liver transplant on december 29, but her body rejected the donor organ. Now she is in a coma suffering internal bleeding, her kidneys have stopped working and she has poor heart function.","Lyme Disease in Dogs. horse & hound veterinary services has an in-house blood test to screen dogs for lyme disease, anaplasmosis, and ehrlichiosis - 3 distinct tick-transferred diseases. this test is very simple and only requires a tiny sample of blood and 8 minutes of your time for the results! you will know if your dog has any of these 3 diseases before leaving our clinic."
6,"Narendra modi says congress is ""entrapped"" in 'blue whale' challenge and will see the final episode on december 18. PM accuses rahul gandhi of spreading ""falsehood and half-truths"" about gujarat and trying to ""fool and insult"" the people of the state.","FIFA World Cup 2018: 6-year-old Scottish boy who cried after Poland's exit, wins free tickets to final. iain meiklejohn. (twitter) the fifa world cup is a tournament of tears and happiness. while on one side, a few fans are elated with their team being alive in the tournament, on the other side, the enthusiasts are in agony over their teams’ shocking knockout."
7,"Janelle bynum, a state representative from oregon who is black, said she was going door-to-door to talk with constituents when one of those constituents called the police on her. bynum is running for reelection in november, and posted about the experience to facebook on t Tuesday.","VIDEO: Sonoma County reports first flu death of season. mobile users, click here for the full video sonoma county (kron) — sonoma county has now reported its first flu death this season. it’s reported there is at least a dozen severe cases of the flu in adults under 65, but until now, no deaths. no details are being released yet about the victim."
8,The east baton rouge metro council is expected to get an update on the status of the officers involved in the shooting death of alton sterling. The meeting happens to fall on what would have been sterling’s 38th birthday. several members of the community are expected to attend a balloon release before the scheduled meeting.,"Frequently eating fried potatoes can lead to an early death. a new study shows that frequently eating fried potatoes can be a major health risk. the study says that people who eat fried potatoes at least two times a week, double their risk of an early death. this includes french fries, potato chips and hash browns."
9,"10-year-old child found unresponsive in bed in hayfield, Minnesota. Authorities say there was no obvious trauma to the child, who had no history of medical problems.","The Botanist plans new bar on MediaCityUK in Salford Quays. get what's on updates directly to your inbox + subscribe thank you for subscribing! could not subscribe, try again later invalid email mediacityuk is set to get another new bar as the botanist prepares to open in september. the bar chain - which has branches in manchester city centre, didsbury and knutsford among others - will be in the 11-storey orange tower, home to itv and bbc staff."
