cluster_id,generated,reference
0,"Lindsay Davenport reaches Kremlin Cup quarterfinals with 6-4, 6-2 win over Dinara Safina. American #39;s victory will oust idle Amelie Mauresmo. Andy Ram came close to pulling off the biggest upset of his singles career.","American #39;s victory will oust idle Mauresmo MOSCOW -- Lindsay Davenport will. American #39;s victory will oust idle Mauresmo MOSCOW -- Lindsay Davenport will take over the No. 1 spot from Amelie Mauresmo when the rankings are released next week after reaching the Kremlin Cup quarterfinals with a 6-4, 6-2 win over Dinara Safina on Thursday. Cheers, jeers and overcoming fears in golf #39;s ultimate contest The last putt. Cheers, jeers and overcoming fears in golf #39;s ultimate contest The last putt on the last hole of the last match. Bernhard Langer playing Hale Irwin and Langer has a six-footer for Europe to retain the Ryder Cup. Tennis / Close but no cigar as Ram tests Youzhny Andy Ram came close to pulling. Tennis / Close but no cigar as Ram tests Youzhny Andy Ram came close to pulling off the biggest upset of his singles career when he stretched No. 4 seed Mikhail Youzhny of Russia, 2-6, 7-6 (7-3), 7-6 (7-4) in the first round of the \$1 million St."
1,"A new report released by an American Physical Society (APS) Special Committee on NASA Funding for Astrophysics has questioned the space agency's Moon, Mars and Beyond initiative. The APS assessment warns that t he cost of overcoming technological challenges to make real the plan could far exceed budgetary projections.","Space news: Europe #39;s moon probe, NASA #39;s scramjet There have been two imp. Space news: Europe #39;s moon probe, NASA #39;s scramjet There have been two important pieces of space-related news recently, the first of which was the European moon probe #39;s success in entering the moon #39;s orbit. Scientists: New planets may take longer It may take much longer than scientists. Scientists: New planets may take longer It may take much longer than scientists have thought for violent turbulence to turn grains of space dust into new planets. A NASA telescope recently discovered evidence that NASA's Moon-Mars Initiative Harms Science: American Physical Society Report (SPA. NASA's Moon-Mars Initiative Harms Science: American Physical Society Report (SPACE.com) SPACE.com - A new report released by an American\Physical Society (APS) Special Committee on NASA Funding for Astrophysics has\questioned the space agency's Moon, Mars and Beyond initiative. The APS\assessment warns that t he cost of overcoming technological\challenges to make real the plan could far exceed budgetary projections and that\numerous nbsp;approved science programs could be jeopardized."
2,Hewlett-Packard Co. and Intel Corp. end their 10-year partnership to co-develop the Itanium chip for server computers. Microsoft Nixes Intel #39;s Itanium following disappointing sales of the product.,"AMD and IBM spread the love AMD and IBM are extending a deal which has seen them. AMD and IBM spread the love AMD and IBM are extending a deal which has seen them co-operating on chip-making technology since 2002. The deal was due to end next year it will now run until December 2008. HP Shifting Last of Itanium Engineers  SAN FRANCISCO (Reuters) - Hewlett-Packard. HP Shifting Last of Itanium Engineers SAN FRANCISCO (Reuters) - Hewlett-Packard Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=HPQ.N target=/stocks/quickinfo/fullquote""&gt;HPQ.N&lt;/A&gt; and Intel Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=INTC.O target=/stocks/quickinfo/fullquote""&gt;INTC.O&lt;/A&gt; on Wednesday ended their 10-year partnership to co-develop the Itanium chip for server computers, following disappointing sales of the product. Microsoft Nixes Intel #39;s Itanium An upcoming Microsoft (MSFT:Nasdaq - news -. Microsoft Nixes Intel #39;s Itanium An upcoming Microsoft (MSFT:Nasdaq - news - research) software product for clustered servers won #39;t run on Intel #39;s (INTC:Nasdaq - news - research) high-end Itanium 2 chip, according to a report first published on News."
3,"Crude-oil prices rebounded Friday but remained below \$50 a barrel after declining 4 percent in the last week. Oil continued its march higher on Monday, renewing fears on Wall Street that the slowdown in profits would extend through the end of the year.","Oil prices rise, but stay below \$50 a barrel Crude-oil prices rebounded Friday. Oil prices rise, but stay below \$50 a barrel Crude-oil prices rebounded Friday but remained below \$50 a barrel after declining 4 percent in the last week due to rising US supplies of crude and natural gas. Stocks Slide As Oil Nears \$50 a Barrel NEW YORK - Oil prices reached a new high. Stocks Slide As Oil Nears \$50 a Barrel NEW YORK - Oil prices reached a new high and sent stocks lower Monday, but with trading on Wall Street light and losses only moderate, investors seemed to be coming to terms with near-\$50 per barrel crude. After setting a new all-time record settlement price of \$48.88 on Friday, oil continued its march higher on Monday, renewing fears on Wall Street that the slowdown in profits and the economic recovery would extend through the end of the year due to high energy costs... Crude oil prices rise near US\$42 as traders await US data, OPEC &lt;b&gt;...&lt. Crude oil prices rise near US\$42 as traders await US data, OPEC &lt;b&gt;...&lt;/b&gt; Crude oil prices rose Wednesday ahead of US petroleum inventory data and an OPEC meeting this week at which the group could decide on a production cut."
4,"Eight suspects, including a man identified by the U.S. as a senior al-Qaida figure, appeared in a London court. Police investigated alleged plot to commit murder and to cause mayhem with chemical, biological or radioactive materials. A prosecutor also said police were searching about 100 computers and thousands of files.","Afghanistan Says Criminals, Not Militants, Are Holding UN Hostages Afghanistan #. Afghanistan Says Criminals, Not Militants, Are Holding UN Hostages Afghanistan #39;s Interior Ministry says the militant group claiming to have kidnapped three UN workers is not, in fact, the group holding the captives. 8 Terror Suspects Appear in British Court LONDON - Eight suspects, including a m. 8 Terror Suspects Appear in British Court LONDON - Eight suspects, including a man identified by the United States as a senior al-Qaida figure, appeared in a London court under heavy guard Wednesday as police investigated their alleged plot to commit murder and to cause mayhem with chemical, biological or radioactive materials. A prosecutor also said police were searching about 100 computers and thousands of files, suggesting a protracted investigation that could produce more charges against the suspects, who were seized in raids across England two weeks ago... British hostage pleads for his life as US officials rule out &lt;b&gt;...&lt;/b&. British hostage pleads for his life as US officials rule out &lt;b&gt;...&lt;/b&gt; A British hostage appeared on a video posted on an Islamic Web site Wednesday weeping and pleading for his life as Iraq #39;s leader and US"
5,"Arizona Cardinals activate defensive tackle Wendell Bryant off the suspended list. The move, which had been expected, followed a four-game suspension. Tim Carter, the Giants #39; speedy but injury-bedeviled wide receiver, fractured his hip.","Tim Carter out for season Tim Carter, the Giants #39; speedy but injury-bedevile. Tim Carter out for season Tim Carter, the Giants #39; speedy but injury-bedeviled wide receiver, fractured his hip in Sunday #39;s victory over the Cowboys and is expected to miss the rest of the season. Cardinals activate Bryant TEMPE, Ariz. -- The Arizona Cardinals activated defens. Cardinals activate Bryant TEMPE, Ariz. -- The Arizona Cardinals activated defensive tackle Wendell Bryant off the suspended list Wednesday. The move, which had been expected, followed a four-game suspension for violating the NFL #39;s substance abuse policy. Spurrier to UF: Look elsewhere All the hype and speculation came to an end Thurs. Spurrier to UF: Look elsewhere All the hype and speculation came to an end Thursday when Steve Spurrier, once considered the leading man for the Florida job, removed his name from the pool of candidates to replace Ron Zook, who was fired Oct.25."
6,"PeopleSoft board won #39;t negotiate takeover with Oracle PeopleSoft (Profile, Products, Articles) Inc. won't discuss a sale to Oracle for a price of \$24 per share, the company says.","PeopleSoft board won #39;t negotiate takeover with Oracle PeopleSoft (Profile, P. PeopleSoft board won #39;t negotiate takeover with Oracle PeopleSoft (Profile, Products, Articles) Inc. won #39;t discuss a sale to Oracle (Profile, Products, Articles) Corp. for a price of \$24 per share, the company #39;s board of directors Does new Peoplesoft CEO signal a buyout? Is PeopleSoft #39;s founder and long-ti. Does new Peoplesoft CEO signal a buyout? Is PeopleSoft #39;s founder and long-time chief executive back at the helm to accept Oracle #39;s takeover bid, or to dig-in for a long-term battle? Directors rebuff Oracle #39;s \$24 bid PeopleSoft Inc. #39;s board of directors. Directors rebuff Oracle #39;s \$24 bid PeopleSoft Inc. #39;s board of directors said Saturday it will not accept Oracle Corp. #39;s bid to buy the company for \$24 per share, even after 61 percent of the Pleasanton firm #39;s investors endorsed the offer."
7,"The launch of Microsoft #39;s test version throws down a gauntlet to Google. With Yahoo! and Ask Jeeves gearing up, too, a battle is brewing.","Desktop Search: It #39;s Getting Serious The launch of Microsoft #39;s test vers. Desktop Search: It #39;s Getting Serious The launch of Microsoft #39;s test version throws down a gauntlet to Google. With Yahoo! and Ask Jeeves gearing up, too, a battle is brewing. Making IE safer and more  #39;trustworthy #39; MICROSOFT Corps recent release of. Making IE safer and more #39;trustworthy #39; MICROSOFT Corps recent release of Service Pack 2 for Windows XP saw the company dealing head-on with the security issues that have plagued the operating system since its release. Google #39;s ups and downs Google #39;s long-awaited public offering finally mad. Google #39;s ups and downs Google #39;s long-awaited public offering finally made it to the street, but the search is still on for Microsoft #39;s Windows update."
8,U.S. troops hunted rebels in the battered Iraqi city of Fallujah on Thursday. Rebels hit back with an armed rampage in Mosul and a powerful car bomb that killed 17 people in a crowded Baghdad street. 40 killed in clashes in Iraq #39;s Sadr city overnight.,"Baghdad Blast Kills 17 U.S. troops hunted rebels in the battered Iraqi city of F. Baghdad Blast Kills 17 U.S. troops hunted rebels in the battered Iraqi city of Fallujah on Thursday, but rebels hit back with an armed rampage in Mosul and a powerful car bomb that killed 17 people in a crowded Baghdad street. 40 killed in clashes in Iraq #39;s Sadr city BAGHDAD (AFP) Forty people were kil. 40 killed in clashes in Iraq #39;s Sadr city BAGHDAD (AFP) Forty people were killed and scores wounded in clashes between US forces and Shiite fighters in the Baghdad district of Sadr City overnight, the health ministry said. U.S. Strikes Al-Zarqawi Network; 16 Dead BAGHDAD, Iraq - U.S. warplanes, tanks a. U.S. Strikes Al-Zarqawi Network; 16 Dead BAGHDAD, Iraq - U.S. warplanes, tanks and artillery repeatedly hit at Abu Musab al-Zarqawi's terror network in the insurgent stronghold of Fallujah on Saturday, while two British Muslim leaders came to Baghdad to try to convince his followers to release a British hostage..."
9,"No. 14 BC went 18 for 18 from the free throw line and beat West Virginia for the 14th time without a loss. Carl Krauser scored 17 points, grabbed seven rebounds and handed out four assists to lead No. 11 Pittsburgh over Memphis.","Buckeyes Step it Up Against Red Raiders and Knight Ohio State (7-2) handled Texa. Buckeyes Step it Up Against Red Raiders and Knight Ohio State (7-2) handled Texas Tech #39;s (5-2) pressure defense and overcame anemic foul shooting to hang on for their first road win of the season, 77-71 over the Red Raiders. Eagles get a line on West Virginia It was a perfect day all around for Boston Co. Eagles get a line on West Virginia It was a perfect day all around for Boston College. No. 14 BC went 18 for 18 from the free throw line and beat West Virginia for the 14th time without a loss, rolling past the Mountaineers, 69-56, yesterday in Morgantown, W.Va. College Basketball: Pitt, Texas Roll to Easy Wins  NEW YORK (Sports Network) - C. College Basketball: Pitt, Texas Roll to Easy Wins NEW YORK (Sports Network) - Carl Krauser scored 17 points, grabbed seven rebounds and handed out four assists to lead No. 11 Pittsburgh over Memphis, 70-51, in the Jimmy V Classic from New York's famed Madison Square Garden."
