cluster_id,generated,reference
0,"Ask Jeeves Inc. unveils MyJeeves, a new product that helps users personalize their Internet searches. Google Inc. has quietly introduced a new search technology to help publishers sell books online.","Amazon to Take Searches on Web to a New Depth Amazon.com, the e-commerce giant,. Amazon to Take Searches on Web to a New Depth Amazon.com, the e-commerce giant, plans to take aim at the Internet search king Google with an advanced technology that the company says will take searches beyond Google steals a page from Amazon #39;s book search Google Inc. has quietly intro. Google steals a page from Amazon #39;s book search Google Inc. has quietly introduced a new search technology to help publishers sell books online, a fast-growing market dominated by Internet retailer Amazon. Ask Jeeves Launches Personalized Web Search Service (Reuters) Reuters - Ask Jeev. Ask Jeeves Launches Personalized Web Search Service (Reuters) Reuters - Ask Jeeves Inc. , the\third-biggest U.S. Web search provider, late on Monday unveiled\MyJeeves, a new product that helps users personalize their\Internet searches."
1,"Rafael Nadal upset world number two Andy Roddick in four sets to give Spain a commanding two-nil lead over the United States in the Davis Cup final. Daniel Nestor and Mark Knowles shook off their past record in Grand Slam finals Friday, winning the men #39;s doubles title at the US Open in style. The US women's basketball team pulled away from previously-unbeaten Spain for a 71-58 victory.","Nestor and Knowles win the big one: a doubles title at US Open (CP) - Daniel Nes. Nestor and Knowles win the big one: a doubles title at US Open (CP) - Daniel Nestor and Mark Knowles shook off their past record in Grand Slam finals Friday, winning the men #39;s doubles title at the US Open in style. Tennis: Spain take 2-0 lead over US in Davis Cup final Rafael Nadal upset world. Tennis: Spain take 2-0 lead over US in Davis Cup final Rafael Nadal upset world number two Andy Roddick in four sets to give Spain a commanding two-nil lead over the United States in the Davis Cup final on Friday. USA women #39;s basketball team pulls away to beat Spain Athens, Greece (Sports. USA women #39;s basketball team pulls away to beat Spain Athens, Greece (Sports Network) - The US women #39;s basketball team continued its impressive play at the Olympics, pulling away from previously-unbeaten Spain for a 71-58 victory on Friday."
2,Manchester United boss Sir Alex Ferguson has no regrets about fielding a second-string side against Fenerbahce. England coach Sven-Goran Eriksson has urged the international soccer authorities to preserve the health of the world superstar footballers.,"There seems no end to Arsenal #39;s reserves of vivid youthful talent Two Premie. There seems no end to Arsenal #39;s reserves of vivid youthful talent Two Premiership managers have now felt the full force. Kevin Keegan was left totally embarrassed and David Moyes, judging by the shouts coming from the away team dressing room on Tuesday night, was just plain livid. Fergie stands by selection policy Manchester United boss Sir Alex Ferguson insis. Fergie stands by selection policy Manchester United boss Sir Alex Ferguson insists he has no regrets about fielding a second-string side against Fenerbahce. Sanli Tuncay #39;s second-half hat-trick consigned the Red Devils to a 3-0 defeat in Istanbul Top players need more rest, says Eriksson WASHINGTON, Aug. 17 (Xinhuanet) -- Eng. Top players need more rest, says Eriksson WASHINGTON, Aug. 17 (Xinhuanet) -- England coach Sven-Goran Eriksson has urged the international soccer authorities to preserve the health of the world superstar footballers for major tournaments, who expressed his will in Slaley of England on Tuesday ..."
3,"A car bomb in a crowded market north of Baghdad killed at least seven civilians and wounded 18 Tuesday. American and Iraqi forces once again fought with Insurgents in the cities of Falluja and Tall #39;Afar, killing dozens of Iraqis.","Dozens More Killed In New Fighting In Iraq American and Iraqi forces once again. Dozens More Killed In New Fighting In Iraq American and Iraqi forces once again fought with Insurgents in the cities of Falluja and Tall #39;Afar, killing dozens of Iraqis in airstrikes and gunbattles. Car Bomb Kills Seven, Wounds 20 in Iraq  BAIJI, Iraq (Reuters) - A car bomb in a. Car Bomb Kills Seven, Wounds 20 in Iraq BAIJI, Iraq (Reuters) - A car bomb in a crowded market north of Baghdad killed at least seven civilians and wounded 18 Tuesday as a U.S. military patrol passed by. Suicide Bomber Attacks Iraqi Police, Kills 12 (Reuters) Reuters - A suicide car. Suicide Bomber Attacks Iraqi Police, Kills 12 (Reuters) Reuters - A suicide car bomber plowed into\policemen waiting to collect their salary at a police station\west of Ramadi Monday, killing 12 people in the latest\insurgent attack on Iraq's beleaguered security forces."
4,Environmental groups alarmed over proposed change in how federal government measures water for fish in Sacramento-San Joaquin river delta. California officials concerned about potential harm to wildlife habitat. Bush administration says it will allow developers to complete construction and other projects even after belated discoveries that the work could endanger protected species.,GOP Leaders Criticize S.C. Organization (AP) AP - A federally funded group that. GOP Leaders Criticize S.C. Organization (AP) AP - A federally funded group that promised flu shots on Election Day in six of South Carolina's poorest counties has drawn criticism from Republican leaders. Groups Alarmed Over Delta Water Plan (AP) AP - A proposed change in how the fede. Groups Alarmed Over Delta Water Plan (AP) AP - A proposed change in how the federal government measures water for fish in the Sacramento-San Joaquin river delta has environmental groups alarmed and California officials concerned about potential harm to wildlife habitat. Development May Endanger Protected Species (AP) AP - The Bush administration sai. Development May Endanger Protected Species (AP) AP - The Bush administration said Friday it will allow developers to complete construction and other projects even after belated discoveries that the work could endanger protected species.
5,Google posts quarterly net income and revenue that more than doubled. Kohl's Corp. posts a 19 percent rise in its third-quarter profit. Top US retailers reported double-digit profit gains in the third quarter.,"Google Profit Rises as Sales Double  SAN FRANCISCO (Reuters) - Web search leader. Google Profit Rises as Sales Double SAN FRANCISCO (Reuters) - Web search leader Google Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=GOOG.O target=/stocks/quickinfo/fullquote""&gt;GOOG.O&lt;/A&gt;, in its first earnings report as a publicly held company, on Thursday posted quarterly net income and revenue that more than doubled on strong Web search advertising. Wall Street Not Buying Retail #39;s Optimism Top US retailers reported double-di. Wall Street Not Buying Retail #39;s Optimism Top US retailers reported double-digit profit gains in the third quarter, with industry titan Wal-Mart Stores Inc. leading the pack and brightening its outlook for the key holiday season underpinned by the recent drop in oil prices. Kohl's Profit Up on New Clothing Brands  SAN FRANCISCO (Reuters) - Kohl's Corp.. Kohl's Profit Up on New Clothing Brands SAN FRANCISCO (Reuters) - Kohl's Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=KSS.N target=/stocks/quickinfo/fullquote""&gt;KSS.N&lt;/A&gt; on Thursday posted a 19 percent rise in its third-quarter profit, as the department store retailer took fewer markdowns and rolled out new clothing brands."
6,Microsoft extends legal protection to most users. Four ex-Microsoft employees from the Seattle-area have been charged with stealing software worth $32.4 million from the company.,"Microsoft extends legal protection to most users In a bid to further differentia. Microsoft extends legal protection to most users In a bid to further differentiate itself from its Linux rivals, Microsoft has said it will expand its legal indemnification programme to cover almost all its customers. Microsoft offers indemnification for all Microsoft Corp has upped the ante in it. Microsoft offers indemnification for all Microsoft Corp has upped the ante in its claims to offer better intellectual property indemnification than Linux vendors by extending to all end users its IP protection policy, which was previously only available to volume licensing customers. MS staff stole \$32.4M in software p2pnet.net News:- Four ex-Microsoft employees. MS staff stole \$32.4M in software p2pnet.net News:- Four ex-Microsoft employees from the Seattle-area have been charged with stealing software worth \$32.4 million from the company."
7,"Crude oil prices rise near US\$42 as traders await US data, OPEC. Dollar Slumps Broadly, More Losses Seen.","Crude oil prices rise near US\$42 as traders await US data, OPEC &lt;b&gt;...&lt. Crude oil prices rise near US\$42 as traders await US data, OPEC &lt;b&gt;...&lt;/b&gt; Crude oil prices rose Wednesday ahead of US petroleum inventory data and an OPEC meeting this week at which the group could decide on a production cut. Crude price fall continues OIL prices eased further below \$50 a barrel yesterda. Crude price fall continues OIL prices eased further below \$50 a barrel yesterday, extending a week-long bout of profit-taking that has cut more than \$5 from record-high crude ahead of the US presidential election. Dollar Slumps Broadly, More Losses Seen  NEW YORK (Reuters) - The dollar stumble. Dollar Slumps Broadly, More Losses Seen NEW YORK (Reuters) - The dollar stumbled on Friday as persistent concerns over the U.S. economy and comments throughout the week from European Central Bank and Federal Reserve officials allowed the currency no respite."
8,"Adnan al-Ghoul died when an Israeli missile hit his car, witnesses said. Prime Minister Ariel Sharon confronted Likud party rebels with a pledge to put the good of Israel first.","Israel kills Hamas #39;s top bomb-maker Israel has killed Hamas #39;s top bomb a. Israel kills Hamas #39;s top bomb-maker Israel has killed Hamas #39;s top bomb and rocket-maker in Gaza ahead of a Knesset vote on a pull-out from the area. Adnan al-Ghoul died when an Israeli missile hit his car, witnesses said. Israel's Sharon Confronts Party Rebels Before Vote  TEL AVIV (Reuters) - Prime M. Israel's Sharon Confronts Party Rebels Before Vote TEL AVIV (Reuters) - Prime Minister Ariel Sharon confronted Likud party rebels with a pledge to put the good of Israel first Wednesday as he battled to avoid an embarrassing defeat over his Gaza pullout plan. Gunmen kill  #39;collaborator #39; A SUSPECTED Palestinian collaborator with Isr. Gunmen kill #39;collaborator #39; A SUSPECTED Palestinian collaborator with Israel was executed late today by two gunmen outside a mosque in the West Bank city of Ramallah, Palestinian security sources said."
9,"United Airlines #39; flight attendants promise to fight company over labor cuts. US Air needs more cost cuts or a boost in revenue to attract investors, company says. Pilots union leaders say they will forward a plan to cut wages and benefits.","United #39;s unions face new hit to pay, pensions CHICAGO -- The union for Unite. United #39;s unions face new hit to pay, pensions CHICAGO -- The union for United Airlines #39; flight attendants promised Friday to fight the company quot;over every dime quot; of its plan to impose an additional \$725 million in labor cuts and eliminate traditional pensions. US Air Needs Cuts to Entice Investors  ALEXANDRIA, Va. (Reuters) - US Airways Gr. US Air Needs Cuts to Entice Investors ALEXANDRIA, Va. (Reuters) - US Airways Group Inc. probably will need more cost cuts or a boost in revenue to attract the \$250 million in equity it says it needs to leave bankruptcy next year, the company said on Thursday. US Air Pilots to Vote on Pay-Cut Proposal  WASHINGTON (Reuters) - Bankrupt US Ai. US Air Pilots to Vote on Pay-Cut Proposal WASHINGTON (Reuters) - Bankrupt US Airways took a crucial step toward securing \$300 million in concessions from its pilots union late on Tuesday when leaders of the labor group said they would forward a plan to cut wages and benefits to all pilots for a vote."
